num-of-wm,average-sat-epsilon,average-test-accuracy
0,0.0,0.9684000015258789
1,0.3421463213921187,0.8743539983034134
2,0.42830825381378473,0.7887690001130104
3,0.5333777863372255,0.7106301994919777
4,0.6845782096297901,0.6440515999794006
5,0.7942964428458535,0.5886658012866974
6,0.8931273112726337,0.5343368005752563
7,1.0459460478876317,0.4827401000857353
25,1.8641080773568943,0.09487569967843593
50,2.0452384043041687,0.048921800090931354
75,2.1260435984617696,0.0594746000431478
100,2.176319849632837,0.051100000739097595
